NAME,H1_001N,GEO_ID,state,county,tract,block
"Block 1019, Block Group 1, Census Tract 9701, Meade County, Kentucky",7,1000000US211639701001019,21,163,970100,1019
"Block 1016, Block Group 1, Census Tract 9701, Meade County, Kentucky",6,1000000US211639701001016,21,163,970100,1016
"Block 1017, Block Group 1, Census Tract 9701, Meade County, Kentucky",11,1000000US211639701001017,21,163,970100,1017
"Block 1018, Block Group 1, Census Tract 9701, Meade County, Kentucky",1,1000000US211639701001018,21,163,970100,1018
"Block 1020, Block Group 1, Census Tract 9701, Meade County, Kentucky",13,1000000US211639701001020,21,163,970100,1020
"Block 1021, Block Group 1, Census Tract 9701, Meade County, Kentucky",4,1000000US211639701001021,21,163,970100,1021
"Block 1022, Block Group 1, Census Tract 9701, Meade County, Kentucky",18,1000000US211639701001022,21,163,970100,1022
"Block 1023, Block Group 1, Census Tract 9701, Meade County, Kentucky",4,1000000US211639701001023,21,163,970100,1023
"Block 1024, Block Group 1, Census Tract 9701, Meade County, Kentucky",33,1000000US211639701001024,21,163,970100,1024
"Block 1025, Block Group 1, Census Tract 9701, Meade County, Kentucky",13,1000000US211639701001025,21,163,970100,1025
"Block 1026, Block Group 1, Census Tract 9701, Meade County, Kentucky",81,1000000US211639701001026,21,163,970100,1026
"Block 1027, Block Group 1, Census Tract 9701, Meade County, Kentucky",17,1000000US211639701001027,21,163,970100,1027
"Block 1028, Block Group 1, Census Tract 9701, Meade County, Kentucky",30,1000000US211639701001028,21,163,970100,1028
"Block 1029, Block Group 1, Census Tract 9701, Meade County, Kentucky",3,1000000US211639701001029,21,163,970100,1029
"Block 1030, Block Group 1, Census Tract 9701, Meade County, Kentucky",3,1000000US211639701001030,21,163,970100,1030
"Block 1038, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001038,21,163,980100,1038
"Block 1035, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001035,21,163,980100,1035
"Block 1036, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001036,21,163,980100,1036
"Block 1037, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001037,21,163,980100,1037
"Block 1039, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001039,21,163,980100,1039
"Block 1040, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001040,21,163,980100,1040
"Block 1041, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001041,21,163,980100,1041
"Block 1042, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001042,21,163,980100,1042
"Block 1043, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001043,21,163,980100,1043
"Block 1044, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001044,21,163,980100,1044
"Block 1045, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001045,21,163,980100,1045
"Block 1046, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001046,21,163,980100,1046
"Block 1047, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001047,21,163,980100,1047
"Block 1048, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001048,21,163,980100,1048
"Block 1049, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001049,21,163,980100,1049
"Block 1050, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001050,21,163,980100,1050
"Block 1051, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001051,21,163,980100,1051
"Block 1052, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001052,21,163,980100,1052
"Block 1053, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001053,21,163,980100,1053
"Block 1054, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001054,21,163,980100,1054
"Block 1055, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001055,21,163,980100,1055
"Block 1056, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001056,21,163,980100,1056
"Block 1057, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001057,21,163,980100,1057
"Block 1058, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001058,21,163,980100,1058
"Block 1059, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001059,21,163,980100,1059
"Block 1060, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001060,21,163,980100,1060
"Block 1061, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001061,21,163,980100,1061
"Block 1062, Block Group 1, Census Tract 9801, Meade County, Kentucky",0,1000000US211639801001062,21,163,980100,1062
"Block 1031, Block Group 1, Census Tract 9701, Meade County, Kentucky",8,1000000US211639701001031,21,163,970100,1031
"Block 1032, Block Group 1, Census Tract 9701, Meade County, Kentucky",10,1000000US211639701001032,21,163,970100,1032
