NAME,H1_001N,GEO_ID,state,county,tract,block
"Block 2001, Block Group 2, Census Tract 405.04, Shelby County, Kentucky",12,1000000US212110405042001,21,211,040504,2001
"Block 1035, Block Group 1, Census Tract 405.04, Shelby County, Kentucky",5,1000000US212110405041035,21,211,040504,1035
"Block 1036, Block Group 1, Census Tract 405.04, Shelby County, Kentucky",8,1000000US212110405041036,21,211,040504,1036
"Block 2000, Block Group 2, Census Tract 405.04, Shelby County, Kentucky",0,1000000US212110405042000,21,211,040504,2000
"Block 2002, Block Group 2, Census Tract 405.04, Shelby County, Kentucky",53,1000000US212110405042002,21,211,040504,2002
"Block 2008, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",0,1000000US212110401012008,21,211,040101,2008
"Block 2005, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",0,1000000US212110401012005,21,211,040101,2005
"Block 2006, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",0,1000000US212110401012006,21,211,040101,2006
"Block 2007, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",0,1000000US212110401012007,21,211,040101,2007
"Block 2009, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",0,1000000US212110401012009,21,211,040101,2009
"Block 2010, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",0,1000000US212110401012010,21,211,040101,2010
"Block 2011, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",22,1000000US212110401012011,21,211,040101,2011
"Block 2012, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",1,1000000US212110401012012,21,211,040101,2012
"Block 2013, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",0,1000000US212110401012013,21,211,040101,2013
"Block 2014, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",0,1000000US212110401012014,21,211,040101,2014
"Block 2015, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",1,1000000US212110401012015,21,211,040101,2015
"Block 2016, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",0,1000000US212110401012016,21,211,040101,2016
"Block 2017, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",4,1000000US212110401012017,21,211,040101,2017
"Block 2018, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",1,1000000US212110401012018,21,211,040101,2018
"Block 2019, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",13,1000000US212110401012019,21,211,040101,2019
"Block 2020, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",2,1000000US212110401012020,21,211,040101,2020
"Block 2021, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",13,1000000US212110401012021,21,211,040101,2021
"Block 2022, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",3,1000000US212110401012022,21,211,040101,2022
"Block 2023, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",0,1000000US212110401012023,21,211,040101,2023
"Block 2024, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",0,1000000US212110401012024,21,211,040101,2024
"Block 2025, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",0,1000000US212110401012025,21,211,040101,2025
"Block 2026, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",2,1000000US212110401012026,21,211,040101,2026
"Block 2027, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",1,1000000US212110401012027,21,211,040101,2027
"Block 2028, Block Group 2, Census Tract 401.01, Shelby County, Kentucky",2,1000000US212110401012028,21,211,040101,2028
