NAME,H1_001N,GEO_ID,state,county,tract,block
"Block 1028, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011028,21,093,000201,1028
"Block 1025, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011025,21,093,000201,1025
"Block 1026, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011026,21,093,000201,1026
"Block 1027, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011027,21,093,000201,1027
"Block 1029, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011029,21,093,000201,1029
"Block 1030, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011030,21,093,000201,1030
"Block 1031, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011031,21,093,000201,1031
"Block 1032, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011032,21,093,000201,1032
"Block 1033, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011033,21,093,000201,1033
"Block 1034, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011034,21,093,000201,1034
"Block 1035, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011035,21,093,000201,1035
"Block 1036, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011036,21,093,000201,1036
"Block 1037, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011037,21,093,000201,1037
"Block 1038, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011038,21,093,000201,1038
"Block 1039, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011039,21,093,000201,1039
"Block 1040, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011040,21,093,000201,1040
"Block 1041, Block Group 1, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002011041,21,093,000201,1041
"Block 2000, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002012000,21,093,000201,2000
"Block 2001, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",3,1000000US210930002012001,21,093,000201,2001
"Block 2002, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002012002,21,093,000201,2002
"Block 2003, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002012003,21,093,000201,2003
"Block 2004, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002012004,21,093,000201,2004
"Block 2005, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",6,1000000US210930002012005,21,093,000201,2005
"Block 2006, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",1,1000000US210930002012006,21,093,000201,2006
"Block 2007, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",20,1000000US210930002012007,21,093,000201,2007
"Block 2008, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",18,1000000US210930002012008,21,093,000201,2008
"Block 2009, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",34,1000000US210930002012009,21,093,000201,2009
"Block 2010, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002012010,21,093,000201,2010
"Block 2011, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002012011,21,093,000201,2011
"Block 2012, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002012012,21,093,000201,2012
"Block 2013, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002012013,21,093,000201,2013
"Block 2014, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002012014,21,093,000201,2014
"Block 2015, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",0,1000000US210930002012015,21,093,000201,2015
"Block 2016, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",12,1000000US210930002012016,21,093,000201,2016
"Block 2017, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",11,1000000US210930002012017,21,093,000201,2017
"Block 2018, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",9,1000000US210930002012018,21,093,000201,2018
"Block 2019, Block Group 2, Census Tract 2.01, Hardin County, Kentucky",1,1000000US210930002012019,21,093,000201,2019
"Block 1014, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",37,1000000US210930010031014,21,093,001003,1014
"Block 1011, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",72,1000000US210930010031011,21,093,001003,1011
"Block 1012, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",0,1000000US210930010031012,21,093,001003,1012
"Block 1013, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",23,1000000US210930010031013,21,093,001003,1013
"Block 1015, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",2,1000000US210930010031015,21,093,001003,1015
"Block 1016, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",1,1000000US210930010031016,21,093,001003,1016
"Block 1017, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",5,1000000US210930010031017,21,093,001003,1017
"Block 1018, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",240,1000000US210930010031018,21,093,001003,1018
"Block 1019, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",13,1000000US210930010031019,21,093,001003,1019
"Block 1020, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",10,1000000US210930010031020,21,093,001003,1020
"Block 1021, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",10,1000000US210930010031021,21,093,001003,1021
"Block 1022, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",84,1000000US210930010031022,21,093,001003,1022
"Block 1023, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",2,1000000US210930010031023,21,093,001003,1023
"Block 1024, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",0,1000000US210930010031024,21,093,001003,1024
"Block 1025, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",12,1000000US210930010031025,21,093,001003,1025
"Block 1026, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",40,1000000US210930010031026,21,093,001003,1026
"Block 1027, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",2,1000000US210930010031027,21,093,001003,1027
"Block 1028, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",13,1000000US210930010031028,21,093,001003,1028
"Block 1029, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",0,1000000US210930010031029,21,093,001003,1029
"Block 1030, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",0,1000000US210930010031030,21,093,001003,1030
"Block 1031, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",22,1000000US210930010031031,21,093,001003,1031
"Block 1032, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",35,1000000US210930010031032,21,093,001003,1032
"Block 1033, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",7,1000000US210930010031033,21,093,001003,1033
"Block 1034, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",0,1000000US210930010031034,21,093,001003,1034
"Block 1035, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",11,1000000US210930010031035,21,093,001003,1035
"Block 1036, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",0,1000000US210930010031036,21,093,001003,1036
"Block 1037, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",2,1000000US210930010031037,21,093,001003,1037
"Block 1038, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",31,1000000US210930010031038,21,093,001003,1038
"Block 1039, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",0,1000000US210930010031039,21,093,001003,1039
"Block 1040, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",11,1000000US210930010031040,21,093,001003,1040
"Block 1041, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",0,1000000US210930010031041,21,093,001003,1041
"Block 1042, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",0,1000000US210930010031042,21,093,001003,1042
"Block 1043, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",0,1000000US210930010031043,21,093,001003,1043
"Block 1044, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",6,1000000US210930010031044,21,093,001003,1044
"Block 1045, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",0,1000000US210930010031045,21,093,001003,1045
"Block 1046, Block Group 1, Census Tract 10.03, Hardin County, Kentucky",0,1000000US210930010031046,21,093,001003,1046
"Block 5004, Block Group 5, Census Tract 14.02, Hardin County, Kentucky",19,1000000US210930014025004,21,093,001402,5004
"Block 5001, Block Group 5, Census Tract 14.02, Hardin County, Kentucky",72,1000000US210930014025001,21,093,001402,5001
"Block 5002, Block Group 5, Census Tract 14.02, Hardin County, Kentucky",41,1000000US210930014025002,21,093,001402,5002
"Block 5003, Block Group 5, Census Tract 14.02, Hardin County, Kentucky",16,1000000US210930014025003,21,093,001402,5003
"Block 5005, Block Group 5, Census Tract 14.02, Hardin County, Kentucky",6,1000000US210930014025005,21,093,001402,5005
"Block 5006, Block Group 5, Census Tract 14.02, Hardin County, Kentucky",16,1000000US210930014025006,21,093,001402,5006
"Block 5007, Block Group 5, Census Tract 14.02, Hardin County, Kentucky",13,1000000US210930014025007,21,093,001402,5007
"Block 5008, Block Group 5, Census Tract 14.02, Hardin County, Kentucky",24,1000000US210930014025008,21,093,001402,5008
"Block 5009, Block Group 5, Census Tract 14.02, Hardin County, Kentucky",54,1000000US210930014025009,21,093,001402,5009
