NAME,H1_001N,GEO_ID,state,county,tract,block
"Block 1078, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001078,21,071,920100,1078
"Block 1075, Block Group 1, Census Tract 9201, Floyd County, Kentucky",2,1000000US210719201001075,21,071,920100,1075
"Block 1076, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001076,21,071,920100,1076
"Block 1077, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001077,21,071,920100,1077
"Block 1079, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001079,21,071,920100,1079
"Block 1080, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001080,21,071,920100,1080
"Block 1081, Block Group 1, Census Tract 9201, Floyd County, Kentucky",4,1000000US210719201001081,21,071,920100,1081
"Block 1082, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001082,21,071,920100,1082
"Block 1083, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001083,21,071,920100,1083
"Block 1084, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001084,21,071,920100,1084
"Block 1085, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001085,21,071,920100,1085
"Block 1086, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001086,21,071,920100,1086
"Block 1087, Block Group 1, Census Tract 9201, Floyd County, Kentucky",1,1000000US210719201001087,21,071,920100,1087
"Block 1088, Block Group 1, Census Tract 9201, Floyd County, Kentucky",1,1000000US210719201001088,21,071,920100,1088
"Block 1089, Block Group 1, Census Tract 9201, Floyd County, Kentucky",1,1000000US210719201001089,21,071,920100,1089
"Block 1090, Block Group 1, Census Tract 9201, Floyd County, Kentucky",46,1000000US210719201001090,21,071,920100,1090
"Block 1091, Block Group 1, Census Tract 9201, Floyd County, Kentucky",4,1000000US210719201001091,21,071,920100,1091
"Block 1092, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001092,21,071,920100,1092
"Block 2000, Block Group 2, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201002000,21,071,920100,2000
"Block 2001, Block Group 2, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201002001,21,071,920100,2001
"Block 2002, Block Group 2, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201002002,21,071,920100,2002
"Block 2003, Block Group 2, Census Tract 9201, Floyd County, Kentucky",31,1000000US210719201002003,21,071,920100,2003
"Block 2004, Block Group 2, Census Tract 9201, Floyd County, Kentucky",8,1000000US210719201002004,21,071,920100,2004
"Block 2005, Block Group 2, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201002005,21,071,920100,2005
"Block 2006, Block Group 2, Census Tract 9201, Floyd County, Kentucky",31,1000000US210719201002006,21,071,920100,2006
"Block 2007, Block Group 2, Census Tract 9201, Floyd County, Kentucky",2,1000000US210719201002007,21,071,920100,2007
"Block 2008, Block Group 2, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201002008,21,071,920100,2008
"Block 2009, Block Group 2, Census Tract 9201, Floyd County, Kentucky",1,1000000US210719201002009,21,071,920100,2009
"Block 2010, Block Group 2, Census Tract 9201, Floyd County, Kentucky",8,1000000US210719201002010,21,071,920100,2010
