NAME,H1_001N,GEO_ID,state,county,tract,block
"Block 2008, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",0,1000000US210290207032008,21,029,020703,2008
"Block 2005, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",0,1000000US210290207032005,21,029,020703,2005
"Block 2006, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",0,1000000US210290207032006,21,029,020703,2006
"Block 2007, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",0,1000000US210290207032007,21,029,020703,2007
"Block 2009, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",252,1000000US210290207032009,21,029,020703,2009
"Block 2010, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",35,1000000US210290207032010,21,029,020703,2010
"Block 2011, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",70,1000000US210290207032011,21,029,020703,2011
"Block 2012, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",44,1000000US210290207032012,21,029,020703,2012
"Block 2013, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",49,1000000US210290207032013,21,029,020703,2013
"Block 2014, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",8,1000000US210290207032014,21,029,020703,2014
"Block 2015, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",0,1000000US210290207032015,21,029,020703,2015
"Block 2016, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",0,1000000US210290207032016,21,029,020703,2016
"Block 2017, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",0,1000000US210290207032017,21,029,020703,2017
"Block 2018, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",0,1000000US210290207032018,21,029,020703,2018
"Block 2019, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",6,1000000US210290207032019,21,029,020703,2019
"Block 2020, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",0,1000000US210290207032020,21,029,020703,2020
"Block 2021, Block Group 2, Census Tract 207.03, Bullitt County, Kentucky",6,1000000US210290207032021,21,029,020703,2021
