NAME,H1_001N,GEO_ID,state,county,tract,block
"Block 3004, Block Group 3, Census Tract 52, Jefferson County, Kentucky",12,1000000US211110052003004,21,111,005200,3004
"Block 3005, Block Group 3, Census Tract 52, Jefferson County, Kentucky",0,1000000US211110052003005,21,111,005200,3005
"Block 3006, Block Group 3, Census Tract 52, Jefferson County, Kentucky",0,1000000US211110052003006,21,111,005200,3006
"Block 3007, Block Group 3, Census Tract 52, Jefferson County, Kentucky",20,1000000US211110052003007,21,111,005200,3007
"Block 3008, Block Group 3, Census Tract 52, Jefferson County, Kentucky",4,1000000US211110052003008,21,111,005200,3008
"Block 1006, Block Group 1, Census Tract 66, Jefferson County, Kentucky",144,1000000US211110066001006,21,111,006600,1006
"Block 1003, Block Group 1, Census Tract 66, Jefferson County, Kentucky",17,1000000US211110066001003,21,111,006600,1003
"Block 1004, Block Group 1, Census Tract 66, Jefferson County, Kentucky",74,1000000US211110066001004,21,111,006600,1004
"Block 1005, Block Group 1, Census Tract 66, Jefferson County, Kentucky",70,1000000US211110066001005,21,111,006600,1005
"Block 1007, Block Group 1, Census Tract 66, Jefferson County, Kentucky",33,1000000US211110066001007,21,111,006600,1007
"Block 1008, Block Group 1, Census Tract 66, Jefferson County, Kentucky",217,1000000US211110066001008,21,111,006600,1008
"Block 1009, Block Group 1, Census Tract 66, Jefferson County, Kentucky",27,1000000US211110066001009,21,111,006600,1009
"Block 1010, Block Group 1, Census Tract 66, Jefferson County, Kentucky",19,1000000US211110066001010,21,111,006600,1010
"Block 1011, Block Group 1, Census Tract 66, Jefferson County, Kentucky",4,1000000US211110066001011,21,111,006600,1011
"Block 1012, Block Group 1, Census Tract 66, Jefferson County, Kentucky",0,1000000US211110066001012,21,111,006600,1012
"Block 1013, Block Group 1, Census Tract 66, Jefferson County, Kentucky",9,1000000US211110066001013,21,111,006600,1013
"Block 2000, Block Group 2, Census Tract 66, Jefferson County, Kentucky",4,1000000US211110066002000,21,111,006600,2000
"Block 2001, Block Group 2, Census Tract 66, Jefferson County, Kentucky",16,1000000US211110066002001,21,111,006600,2001
"Block 2002, Block Group 2, Census Tract 66, Jefferson County, Kentucky",101,1000000US211110066002002,21,111,006600,2002
"Block 2003, Block Group 2, Census Tract 66, Jefferson County, Kentucky",34,1000000US211110066002003,21,111,006600,2003
"Block 2004, Block Group 2, Census Tract 66, Jefferson County, Kentucky",60,1000000US211110066002004,21,111,006600,2004
"Block 2005, Block Group 2, Census Tract 66, Jefferson County, Kentucky",25,1000000US211110066002005,21,111,006600,2005
"Block 2006, Block Group 2, Census Tract 66, Jefferson County, Kentucky",44,1000000US211110066002006,21,111,006600,2006
"Block 2007, Block Group 2, Census Tract 66, Jefferson County, Kentucky",29,1000000US211110066002007,21,111,006600,2007
"Block 2008, Block Group 2, Census Tract 66, Jefferson County, Kentucky",40,1000000US211110066002008,21,111,006600,2008
"Block 2009, Block Group 2, Census Tract 66, Jefferson County, Kentucky",45,1000000US211110066002009,21,111,006600,2009
"Block 2010, Block Group 2, Census Tract 66, Jefferson County, Kentucky",22,1000000US211110066002010,21,111,006600,2010
"Block 2011, Block Group 2, Census Tract 66, Jefferson County, Kentucky",24,1000000US211110066002011,21,111,006600,2011
"Block 2012, Block Group 2, Census Tract 66, Jefferson County, Kentucky",10,1000000US211110066002012,21,111,006600,2012
"Block 2013, Block Group 2, Census Tract 66, Jefferson County, Kentucky",56,1000000US211110066002013,21,111,006600,2013
"Block 2014, Block Group 2, Census Tract 66, Jefferson County, Kentucky",49,1000000US211110066002014,21,111,006600,2014
"Block 2015, Block Group 2, Census Tract 66, Jefferson County, Kentucky",85,1000000US211110066002015,21,111,006600,2015
"Block 2016, Block Group 2, Census Tract 66, Jefferson County, Kentucky",0,1000000US211110066002016,21,111,006600,2016
"Block 1000, Block Group 1, Census Tract 68, Jefferson County, Kentucky",28,1000000US211110068001000,21,111,006800,1000
"Block 1001, Block Group 1, Census Tract 68, Jefferson County, Kentucky",2,1000000US211110068001001,21,111,006800,1001
"Block 1002, Block Group 1, Census Tract 68, Jefferson County, Kentucky",21,1000000US211110068001002,21,111,006800,1002
"Block 1003, Block Group 1, Census Tract 68, Jefferson County, Kentucky",18,1000000US211110068001003,21,111,006800,1003
"Block 1004, Block Group 1, Census Tract 68, Jefferson County, Kentucky",13,1000000US211110068001004,21,111,006800,1004
"Block 1005, Block Group 1, Census Tract 68, Jefferson County, Kentucky",14,1000000US211110068001005,21,111,006800,1005
"Block 1006, Block Group 1, Census Tract 68, Jefferson County, Kentucky",16,1000000US211110068001006,21,111,006800,1006
"Block 1007, Block Group 1, Census Tract 68, Jefferson County, Kentucky",15,1000000US211110068001007,21,111,006800,1007
"Block 2012, Block Group 2, Census Tract 78, Jefferson County, Kentucky",27,1000000US211110078002012,21,111,007800,2012
"Block 2009, Block Group 2, Census Tract 78, Jefferson County, Kentucky",18,1000000US211110078002009,21,111,007800,2009
"Block 2010, Block Group 2, Census Tract 78, Jefferson County, Kentucky",43,1000000US211110078002010,21,111,007800,2010
"Block 2011, Block Group 2, Census Tract 78, Jefferson County, Kentucky",28,1000000US211110078002011,21,111,007800,2011
"Block 2013, Block Group 2, Census Tract 78, Jefferson County, Kentucky",17,1000000US211110078002013,21,111,007800,2013
"Block 2014, Block Group 2, Census Tract 78, Jefferson County, Kentucky",3,1000000US211110078002014,21,111,007800,2014
"Block 2015, Block Group 2, Census Tract 78, Jefferson County, Kentucky",31,1000000US211110078002015,21,111,007800,2015
"Block 2016, Block Group 2, Census Tract 78, Jefferson County, Kentucky",38,1000000US211110078002016,21,111,007800,2016
"Block 2017, Block Group 2, Census Tract 78, Jefferson County, Kentucky",28,1000000US211110078002017,21,111,007800,2017
"Block 3000, Block Group 3, Census Tract 78, Jefferson County, Kentucky",27,1000000US211110078003000,21,111,007800,3000
"Block 3001, Block Group 3, Census Tract 78, Jefferson County, Kentucky",16,1000000US211110078003001,21,111,007800,3001
"Block 3002, Block Group 3, Census Tract 78, Jefferson County, Kentucky",14,1000000US211110078003002,21,111,007800,3002
"Block 3003, Block Group 3, Census Tract 78, Jefferson County, Kentucky",14,1000000US211110078003003,21,111,007800,3003
"Block 3004, Block Group 3, Census Tract 78, Jefferson County, Kentucky",15,1000000US211110078003004,21,111,007800,3004
"Block 3005, Block Group 3, Census Tract 78, Jefferson County, Kentucky",27,1000000US211110078003005,21,111,007800,3005
"Block 3006, Block Group 3, Census Tract 78, Jefferson County, Kentucky",22,1000000US211110078003006,21,111,007800,3006
"Block 3007, Block Group 3, Census Tract 78, Jefferson County, Kentucky",13,1000000US211110078003007,21,111,007800,3007
"Block 3008, Block Group 3, Census Tract 78, Jefferson County, Kentucky",29,1000000US211110078003008,21,111,007800,3008
"Block 3009, Block Group 3, Census Tract 78, Jefferson County, Kentucky",71,1000000US211110078003009,21,111,007800,3009
"Block 3010, Block Group 3, Census Tract 78, Jefferson County, Kentucky",16,1000000US211110078003010,21,111,007800,3010
"Block 3011, Block Group 3, Census Tract 78, Jefferson County, Kentucky",19,1000000US211110078003011,21,111,007800,3011
"Block 3012, Block Group 3, Census Tract 78, Jefferson County, Kentucky",24,1000000US211110078003012,21,111,007800,3012
"Block 3013, Block Group 3, Census Tract 78, Jefferson County, Kentucky",15,1000000US211110078003013,21,111,007800,3013
"Block 3014, Block Group 3, Census Tract 78, Jefferson County, Kentucky",12,1000000US211110078003014,21,111,007800,3014
"Block 3015, Block Group 3, Census Tract 78, Jefferson County, Kentucky",26,1000000US211110078003015,21,111,007800,3015
"Block 3016, Block Group 3, Census Tract 78, Jefferson County, Kentucky",53,1000000US211110078003016,21,111,007800,3016
"Block 3017, Block Group 3, Census Tract 78, Jefferson County, Kentucky",5,1000000US211110078003017,21,111,007800,3017
"Block 3018, Block Group 3, Census Tract 78, Jefferson County, Kentucky",3,1000000US211110078003018,21,111,007800,3018
"Block 3019, Block Group 3, Census Tract 78, Jefferson County, Kentucky",26,1000000US211110078003019,21,111,007800,3019
"Block 3020, Block Group 3, Census Tract 78, Jefferson County, Kentucky",4,1000000US211110078003020,21,111,007800,3020
"Block 4000, Block Group 4, Census Tract 78, Jefferson County, Kentucky",0,1000000US211110078004000,21,111,007800,4000
"Block 4001, Block Group 4, Census Tract 78, Jefferson County, Kentucky",0,1000000US211110078004001,21,111,007800,4001
"Block 4002, Block Group 4, Census Tract 78, Jefferson County, Kentucky",0,1000000US211110078004002,21,111,007800,4002
"Block 4003, Block Group 4, Census Tract 78, Jefferson County, Kentucky",24,1000000US211110078004003,21,111,007800,4003
"Block 4004, Block Group 4, Census Tract 78, Jefferson County, Kentucky",2,1000000US211110078004004,21,111,007800,4004
"Block 4005, Block Group 4, Census Tract 78, Jefferson County, Kentucky",26,1000000US211110078004005,21,111,007800,4005
"Block 1002, Block Group 1, Census Tract 85, Jefferson County, Kentucky",82,1000000US211110085001002,21,111,008500,1002
"Block 3016, Block Group 3, Census Tract 84, Jefferson County, Kentucky",62,1000000US211110084003016,21,111,008400,3016
"Block 1000, Block Group 1, Census Tract 85, Jefferson County, Kentucky",20,1000000US211110085001000,21,111,008500,1000
"Block 1001, Block Group 1, Census Tract 85, Jefferson County, Kentucky",247,1000000US211110085001001,21,111,008500,1001
"Block 1003, Block Group 1, Census Tract 85, Jefferson County, Kentucky",95,1000000US211110085001003,21,111,008500,1003
"Block 1004, Block Group 1, Census Tract 85, Jefferson County, Kentucky",65,1000000US211110085001004,21,111,008500,1004
"Block 1005, Block Group 1, Census Tract 85, Jefferson County, Kentucky",36,1000000US211110085001005,21,111,008500,1005
"Block 1006, Block Group 1, Census Tract 85, Jefferson County, Kentucky",41,1000000US211110085001006,21,111,008500,1006
"Block 1007, Block Group 1, Census Tract 85, Jefferson County, Kentucky",58,1000000US211110085001007,21,111,008500,1007
"Block 2000, Block Group 2, Census Tract 85, Jefferson County, Kentucky",21,1000000US211110085002000,21,111,008500,2000
"Block 2001, Block Group 2, Census Tract 85, Jefferson County, Kentucky",21,1000000US211110085002001,21,111,008500,2001
"Block 2002, Block Group 2, Census Tract 85, Jefferson County, Kentucky",15,1000000US211110085002002,21,111,008500,2002
"Block 2003, Block Group 2, Census Tract 85, Jefferson County, Kentucky",28,1000000US211110085002003,21,111,008500,2003
"Block 2004, Block Group 2, Census Tract 85, Jefferson County, Kentucky",67,1000000US211110085002004,21,111,008500,2004
"Block 2005, Block Group 2, Census Tract 85, Jefferson County, Kentucky",16,1000000US211110085002005,21,111,008500,2005
"Block 2006, Block Group 2, Census Tract 85, Jefferson County, Kentucky",106,1000000US211110085002006,21,111,008500,2006
"Block 2007, Block Group 2, Census Tract 85, Jefferson County, Kentucky",78,1000000US211110085002007,21,111,008500,2007
"Block 2008, Block Group 2, Census Tract 85, Jefferson County, Kentucky",43,1000000US211110085002008,21,111,008500,2008
"Block 2009, Block Group 2, Census Tract 85, Jefferson County, Kentucky",37,1000000US211110085002009,21,111,008500,2009
"Block 2010, Block Group 2, Census Tract 85, Jefferson County, Kentucky",60,1000000US211110085002010,21,111,008500,2010
"Block 2011, Block Group 2, Census Tract 85, Jefferson County, Kentucky",23,1000000US211110085002011,21,111,008500,2011
"Block 4001, Block Group 4, Census Tract 107.01, Jefferson County, Kentucky",1,1000000US211110107014001,21,111,010701,4001
"Block 4002, Block Group 4, Census Tract 107.01, Jefferson County, Kentucky",0,1000000US211110107014002,21,111,010701,4002
"Block 4003, Block Group 4, Census Tract 107.01, Jefferson County, Kentucky",84,1000000US211110107014003,21,111,010701,4003
"Block 4004, Block Group 4, Census Tract 107.01, Jefferson County, Kentucky",3,1000000US211110107014004,21,111,010701,4004
"Block 4005, Block Group 4, Census Tract 107.01, Jefferson County, Kentucky",350,1000000US211110107014005,21,111,010701,4005
"Block 4006, Block Group 4, Census Tract 107.01, Jefferson County, Kentucky",0,1000000US211110107014006,21,111,010701,4006
"Block 4007, Block Group 4, Census Tract 107.01, Jefferson County, Kentucky",2,1000000US211110107014007,21,111,010701,4007
"Block 4008, Block Group 4, Census Tract 107.01, Jefferson County, Kentucky",0,1000000US211110107014008,21,111,010701,4008
"Block 4009, Block Group 4, Census Tract 107.01, Jefferson County, Kentucky",0,1000000US211110107014009,21,111,010701,4009
"Block 5000, Block Group 5, Census Tract 107.01, Jefferson County, Kentucky",0,1000000US211110107015000,21,111,010701,5000
"Block 5001, Block Group 5, Census Tract 107.01, Jefferson County, Kentucky",0,1000000US211110107015001,21,111,010701,5001
"Block 5002, Block Group 5, Census Tract 107.01, Jefferson County, Kentucky",6,1000000US211110107015002,21,111,010701,5002
"Block 1000, Block Group 1, Census Tract 87, Jefferson County, Kentucky",0,1000000US211110087001000,21,111,008700,1000
"Block 1001, Block Group 1, Census Tract 87, Jefferson County, Kentucky",0,1000000US211110087001001,21,111,008700,1001
"Block 1002, Block Group 1, Census Tract 87, Jefferson County, Kentucky",0,1000000US211110087001002,21,111,008700,1002
"Block 1003, Block Group 1, Census Tract 87, Jefferson County, Kentucky",0,1000000US211110087001003,21,111,008700,1003
"Block 1004, Block Group 1, Census Tract 87, Jefferson County, Kentucky",0,1000000US211110087001004,21,111,008700,1004
"Block 1005, Block Group 1, Census Tract 87, Jefferson County, Kentucky",0,1000000US211110087001005,21,111,008700,1005
"Block 1006, Block Group 1, Census Tract 87, Jefferson County, Kentucky",48,1000000US211110087001006,21,111,008700,1006
