NAME,P001001,GEO_ID,state,county,tract,block
"Block 1002, Block Group 1, Census Tract 9501, Harrison County, Kentucky",6,1000000US210979501001002,21,097,950100,1002
"Block 1005, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001005,21,097,950100,1005
"Block 1007, Block Group 1, Census Tract 9501, Harrison County, Kentucky",8,1000000US210979501001007,21,097,950100,1007
"Block 1010, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001010,21,097,950100,1010
"Block 1000, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001000,21,097,950100,1000
"Block 1013, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001013,21,097,950100,1013
"Block 1017, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001017,21,097,950100,1017
"Block 1018, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001018,21,097,950100,1018
"Block 1029, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001029,21,097,950100,1029
"Block 1031, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001031,21,097,950100,1031
"Block 1032, Block Group 1, Census Tract 9501, Harrison County, Kentucky",7,1000000US210979501001032,21,097,950100,1032
"Block 1036, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001036,21,097,950100,1036
"Block 1009, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001009,21,097,950100,1009
"Block 1021, Block Group 1, Census Tract 9501, Harrison County, Kentucky",2,1000000US210979501001021,21,097,950100,1021
"Block 1001, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001001,21,097,950100,1001
"Block 1004, Block Group 1, Census Tract 9501, Harrison County, Kentucky",10,1000000US210979501001004,21,097,950100,1004
"Block 1015, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001015,21,097,950100,1015
"Block 1003, Block Group 1, Census Tract 9501, Harrison County, Kentucky",3,1000000US210979501001003,21,097,950100,1003
"Block 1011, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001011,21,097,950100,1011
"Block 1016, Block Group 1, Census Tract 9501, Harrison County, Kentucky",60,1000000US210979501001016,21,097,950100,1016
"Block 1008, Block Group 1, Census Tract 9501, Harrison County, Kentucky",7,1000000US210979501001008,21,097,950100,1008
"Block 1012, Block Group 1, Census Tract 9501, Harrison County, Kentucky",36,1000000US210979501001012,21,097,950100,1012
"Block 1030, Block Group 1, Census Tract 9501, Harrison County, Kentucky",41,1000000US210979501001030,21,097,950100,1030
"Block 1014, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001014,21,097,950100,1014
"Block 1035, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001035,21,097,950100,1035
"Block 1019, Block Group 1, Census Tract 9501, Harrison County, Kentucky",25,1000000US210979501001019,21,097,950100,1019
"Block 1020, Block Group 1, Census Tract 9501, Harrison County, Kentucky",75,1000000US210979501001020,21,097,950100,1020
"Block 1024, Block Group 1, Census Tract 9501, Harrison County, Kentucky",2,1000000US210979501001024,21,097,950100,1024
"Block 1022, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001022,21,097,950100,1022
"Block 1023, Block Group 1, Census Tract 9501, Harrison County, Kentucky",9,1000000US210979501001023,21,097,950100,1023
"Block 1026, Block Group 1, Census Tract 9501, Harrison County, Kentucky",54,1000000US210979501001026,21,097,950100,1026
"Block 1033, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001033,21,097,950100,1033
"Block 1034, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001034,21,097,950100,1034
"Block 1037, Block Group 1, Census Tract 9501, Harrison County, Kentucky",12,1000000US210979501001037,21,097,950100,1037
"Block 1006, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001006,21,097,950100,1006
"Block 1025, Block Group 1, Census Tract 9501, Harrison County, Kentucky",8,1000000US210979501001025,21,097,950100,1025
"Block 1028, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001028,21,097,950100,1028
"Block 1027, Block Group 1, Census Tract 9501, Harrison County, Kentucky",12,1000000US210979501001027,21,097,950100,1027
"Block 1038, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001038,21,097,950100,1038
"Block 1039, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001039,21,097,950100,1039
"Block 1040, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001040,21,097,950100,1040
"Block 1042, Block Group 1, Census Tract 9501, Harrison County, Kentucky",5,1000000US210979501001042,21,097,950100,1042
"Block 1043, Block Group 1, Census Tract 9501, Harrison County, Kentucky",1,1000000US210979501001043,21,097,950100,1043
"Block 1044, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001044,21,097,950100,1044
"Block 1045, Block Group 1, Census Tract 9501, Harrison County, Kentucky",16,1000000US210979501001045,21,097,950100,1045
"Block 1047, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001047,21,097,950100,1047
"Block 1049, Block Group 1, Census Tract 9501, Harrison County, Kentucky",11,1000000US210979501001049,21,097,950100,1049
"Block 1050, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001050,21,097,950100,1050
"Block 1051, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001051,21,097,950100,1051
"Block 1052, Block Group 1, Census Tract 9501, Harrison County, Kentucky",8,1000000US210979501001052,21,097,950100,1052
"Block 1053, Block Group 1, Census Tract 9501, Harrison County, Kentucky",63,1000000US210979501001053,21,097,950100,1053
"Block 1055, Block Group 1, Census Tract 9501, Harrison County, Kentucky",13,1000000US210979501001055,21,097,950100,1055
"Block 1056, Block Group 1, Census Tract 9501, Harrison County, Kentucky",2,1000000US210979501001056,21,097,950100,1056
"Block 1057, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001057,21,097,950100,1057
"Block 1058, Block Group 1, Census Tract 9501, Harrison County, Kentucky",5,1000000US210979501001058,21,097,950100,1058
"Block 1059, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001059,21,097,950100,1059
"Block 1061, Block Group 1, Census Tract 9501, Harrison County, Kentucky",3,1000000US210979501001061,21,097,950100,1061
"Block 1062, Block Group 1, Census Tract 9501, Harrison County, Kentucky",10,1000000US210979501001062,21,097,950100,1062
"Block 1063, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001063,21,097,950100,1063
"Block 1064, Block Group 1, Census Tract 9501, Harrison County, Kentucky",18,1000000US210979501001064,21,097,950100,1064
"Block 1065, Block Group 1, Census Tract 9501, Harrison County, Kentucky",3,1000000US210979501001065,21,097,950100,1065
"Block 1066, Block Group 1, Census Tract 9501, Harrison County, Kentucky",24,1000000US210979501001066,21,097,950100,1066
"Block 1067, Block Group 1, Census Tract 9501, Harrison County, Kentucky",11,1000000US210979501001067,21,097,950100,1067
"Block 1068, Block Group 1, Census Tract 9501, Harrison County, Kentucky",109,1000000US210979501001068,21,097,950100,1068
"Block 1070, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001070,21,097,950100,1070
"Block 1071, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001071,21,097,950100,1071
"Block 1072, Block Group 1, Census Tract 9501, Harrison County, Kentucky",7,1000000US210979501001072,21,097,950100,1072
"Block 1073, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001073,21,097,950100,1073
"Block 1074, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001074,21,097,950100,1074
"Block 1075, Block Group 1, Census Tract 9501, Harrison County, Kentucky",8,1000000US210979501001075,21,097,950100,1075
"Block 1077, Block Group 1, Census Tract 9501, Harrison County, Kentucky",0,1000000US210979501001077,21,097,950100,1077
