NAME,P001001,GEO_ID,state,county,tract,block
"Block 1001, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",24,1000000US210290201011001,21,029,020101,1001
"Block 1002, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",17,1000000US210290201011002,21,029,020101,1002
"Block 1003, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",246,1000000US210290201011003,21,029,020101,1003
"Block 1004, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",0,1000000US210290201011004,21,029,020101,1004
"Block 1005, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",0,1000000US210290201011005,21,029,020101,1005
"Block 1007, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",147,1000000US210290201011007,21,029,020101,1007
"Block 1010, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",0,1000000US210290201011010,21,029,020101,1010
"Block 1011, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",128,1000000US210290201011011,21,029,020101,1011
"Block 1012, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",149,1000000US210290201011012,21,029,020101,1012
"Block 1013, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",4,1000000US210290201011013,21,029,020101,1013
"Block 1014, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",26,1000000US210290201011014,21,029,020101,1014
"Block 1016, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",79,1000000US210290201011016,21,029,020101,1016
"Block 1018, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",192,1000000US210290201011018,21,029,020101,1018
"Block 1020, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",6,1000000US210290201011020,21,029,020101,1020
"Block 1021, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",59,1000000US210290201011021,21,029,020101,1021
"Block 1022, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",79,1000000US210290201011022,21,029,020101,1022
"Block 1023, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",16,1000000US210290201011023,21,029,020101,1023
"Block 1024, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",39,1000000US210290201011024,21,029,020101,1024
"Block 1026, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",25,1000000US210290201011026,21,029,020101,1026
"Block 1000, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",3,1000000US210290201011000,21,029,020101,1000
"Block 1006, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",0,1000000US210290201011006,21,029,020101,1006
"Block 1025, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",55,1000000US210290201011025,21,029,020101,1025
"Block 1008, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",30,1000000US210290201011008,21,029,020101,1008
"Block 1017, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",76,1000000US210290201011017,21,029,020101,1017
"Block 1019, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",0,1000000US210290201011019,21,029,020101,1019
"Block 1009, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",6,1000000US210290201011009,21,029,020101,1009
"Block 1015, Block Group 1, Census Tract 201.01, Bullitt County, Kentucky",141,1000000US210290201011015,21,029,020101,1015
"Block 2003, Block Group 2, Census Tract 201.01, Bullitt County, Kentucky",33,1000000US210290201012003,21,029,020101,2003
"Block 2004, Block Group 2, Census Tract 201.01, Bullitt County, Kentucky",8,1000000US210290201012004,21,029,020101,2004
"Block 2006, Block Group 2, Census Tract 201.01, Bullitt County, Kentucky",33,1000000US210290201012006,21,029,020101,2006
"Block 2007, Block Group 2, Census Tract 201.01, Bullitt County, Kentucky",47,1000000US210290201012007,21,029,020101,2007
"Block 2008, Block Group 2, Census Tract 201.01, Bullitt County, Kentucky",233,1000000US210290201012008,21,029,020101,2008
"Block 2009, Block Group 2, Census Tract 201.01, Bullitt County, Kentucky",25,1000000US210290201012009,21,029,020101,2009
"Block 2012, Block Group 2, Census Tract 201.01, Bullitt County, Kentucky",13,1000000US210290201012012,21,029,020101,2012
"Block 2013, Block Group 2, Census Tract 201.01, Bullitt County, Kentucky",9,1000000US210290201012013,21,029,020101,2013
"Block 2014, Block Group 2, Census Tract 201.01, Bullitt County, Kentucky",86,1000000US210290201012014,21,029,020101,2014
