NAME,P001001,GEO_ID,state,county,tract,block
"Block 1003, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",198,1000000US212150801011003,21,215,080101,1003
"Block 1022, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",2,1000000US212150801011022,21,215,080101,1022
"Block 1004, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",38,1000000US212150801011004,21,215,080101,1004
"Block 1014, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011014,21,215,080101,1014
"Block 1005, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",299,1000000US212150801011005,21,215,080101,1005
"Block 1018, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",152,1000000US212150801011018,21,215,080101,1018
"Block 1006, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011006,21,215,080101,1006
"Block 1012, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",136,1000000US212150801011012,21,215,080101,1012
"Block 1007, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",25,1000000US212150801011007,21,215,080101,1007
"Block 1008, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011008,21,215,080101,1008
"Block 1013, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011013,21,215,080101,1013
"Block 1025, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011025,21,215,080101,1025
"Block 1009, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",36,1000000US212150801011009,21,215,080101,1009
"Block 1019, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011019,21,215,080101,1019
"Block 1021, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",3,1000000US212150801011021,21,215,080101,1021
"Block 1026, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011026,21,215,080101,1026
"Block 1011, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",69,1000000US212150801011011,21,215,080101,1011
"Block 1020, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011020,21,215,080101,1020
"Block 1029, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011029,21,215,080101,1029
"Block 1028, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011028,21,215,080101,1028
"Block 1010, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",105,1000000US212150801011010,21,215,080101,1010
"Block 1024, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011024,21,215,080101,1024
"Block 1027, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011027,21,215,080101,1027
"Block 1000, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011000,21,215,080101,1000
"Block 1015, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",4,1000000US212150801011015,21,215,080101,1015
"Block 1016, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011016,21,215,080101,1016
"Block 1017, Block Group 1, Census Tract 801.01, Spencer County, Kentucky",0,1000000US212150801011017,21,215,080101,1017
