NAME,P001001,GEO_ID,state,county,tract,block
"Block 1028, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001028,21,071,920100,1028
"Block 1023, Block Group 1, Census Tract 9201, Floyd County, Kentucky",39,1000000US210719201001023,21,071,920100,1023
"Block 1025, Block Group 1, Census Tract 9201, Floyd County, Kentucky",7,1000000US210719201001025,21,071,920100,1025
"Block 1032, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001032,21,071,920100,1032
"Block 1033, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001033,21,071,920100,1033
"Block 1038, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001038,21,071,920100,1038
"Block 1040, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001040,21,071,920100,1040
"Block 1041, Block Group 1, Census Tract 9201, Floyd County, Kentucky",8,1000000US210719201001041,21,071,920100,1041
"Block 1045, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001045,21,071,920100,1045
"Block 1046, Block Group 1, Census Tract 9201, Floyd County, Kentucky",74,1000000US210719201001046,21,071,920100,1046
"Block 1052, Block Group 1, Census Tract 9201, Floyd County, Kentucky",107,1000000US210719201001052,21,071,920100,1052
"Block 1053, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001053,21,071,920100,1053
"Block 1056, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001056,21,071,920100,1056
"Block 1061, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001061,21,071,920100,1061
"Block 1000, Block Group 1, Census Tract 9201, Floyd County, Kentucky",127,1000000US210719201001000,21,071,920100,1000
"Block 1030, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001030,21,071,920100,1030
"Block 1036, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001036,21,071,920100,1036
"Block 1065, Block Group 1, Census Tract 9201, Floyd County, Kentucky",3,1000000US210719201001065,21,071,920100,1065
"Block 1005, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001005,21,071,920100,1005
"Block 1058, Block Group 1, Census Tract 9201, Floyd County, Kentucky",5,1000000US210719201001058,21,071,920100,1058
"Block 1060, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001060,21,071,920100,1060
"Block 1042, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001042,21,071,920100,1042
"Block 1010, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001010,21,071,920100,1010
"Block 1024, Block Group 1, Census Tract 9201, Floyd County, Kentucky",0,1000000US210719201001024,21,071,920100,1024
"Block 1029, Block Group 1, Census Tract 9201, Floyd County, Kentucky",21,1000000US210719201001029,21,071,920100,1029
